Date,Quotes,Chang,David,Libing,Andi,Colin
3/17/2019,"Don't cry because it's over, smile because it happened.” 
― Dr. Seuss",Y,N,,,Y
3/18/2019,"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.” 
― Marilyn Monroe ",Not send,Y,,,Not send
3/18/2019,"“We are all in the gutter, but some of us are looking at the stars.” 
― Oscar Wilde, Lady Windermere's Fan",Y,Not send,,,Y
3/19/2019,"“You've gotta dance like there's nobody watching,
Love like you'll never be hurt,
Sing like there's nobody listening,
And live like it's heaven on earth.” 
― William W. Purkey",Not send,N,,,Not send
3/19/2019,"“How wonderful it is that nobody need wait a single moment before starting to improve the world.” 
― Anne Frank, ",Y,Not send,,,N
3/20/2019,"“Even the darkest night will end and the sun will rise.” 
― Victor Hugo, Les Misérables",Y,Y,,N,Y
3/21/2019,"“Dwell on the beauty of life. Watch the stars, and see yourself running with them.” 
― Marcus Aurelius, Meditations",Y,N,,,Y
3/22/2019,"“The secret to doing good research is always to be a little underemployed. You waste years by not being able to waste hours.”
— Amos Tversky",Y,Y,,,N
3/23/2019,"“It is not a lack of love, but a lack of friendship, that makes unhappy marriages.” 
― Friedrich Nietzsche",N ,Y,,,N
3/24/2019,"“The first principle is that you must not fool yourself – and you are the easiest person to fool.”
— Richard Feynman",N,Y,,,N
3/25/19,"“A man is about as big as the things that make him angry.” 
― Winston Churchill",Y,N,,,Y
3/26/2019,"“Gratitude is the wine of the soul. Go on. Get drunk!” 
— Rumi",N,N,,,Y
3/27/2019,"“Without courage we cannot practice any other virtue with consistency. We can't be kind, true, merciful, generous, or honest.”
— Maya Angelou",Y,Y,,,N
3/28/2019,"“Language can become a screen which stands between the thinker and reality. This is the reason why true creativity often starts where language ends.” 
— Arthur Koestler",,N,,,Y
3/31/2019,"""Be who you are and say what you feel, because those who mind don't matter and those who matter don't mind."" 
— Dr. Seuss (Theodor Seuss Geisel)",Y,Y,,,N
4/1/2019,"“Those who do not weep, do not see.” 
— Victor Hugo",N,Y,,,N
4/2/2019,"“Do not spoil what you have by desiring what you have not; remember that what you now have was once among the things you only hoped for.” 
― Epicurus",Y,N,,,Y
4/3/2019,"“No person would give up even an inch of their estate, and the slightest dispute with a neighbor can mean hell to pay; yet we easily let others encroach on our lives—worse, we often pave the way for those who will take it over. No person hands out their money to passersby, but to how many do each of us hand out our lives! We’re tight-fisted with property and money, yet think too little of wasting time, the one thing about which we should all be the toughest misers.” 
— Seneca the Younger",Y,Y,,,Y
4/4/2019,"“For one human being to love another human being: that is perhaps the most difficult task that has been entrusted to us, the ultimate task, the final test and proof, the work for which all other work is merely preparation.”
— Rainer Maria Rilke",Y,N,,,Y
4/5/2019,"“To do the useful thing, to say the courageous thing, to contemplate the beautiful thing: that is enough for one man's life.” 
― T.S. Eliot, The Use of Poetry and the Use of Criticism",Y,N,,,Y
4/6/19,"“It is easier to act yourself into a new way of thinking, than it is to think yourself into a new way of acting.”
— Millard Fuller ",Y,N,,,
4/7/19,"“People fall so in love with their pain, they can’t leave it behind. The same as the stories they tell. We trap ourselves.”
— Chuck Palahniuk",,N,,,
4/8/2019,"“The truth knocks on the door and you say, ‘Go away, I'm looking for the truth,’ and so it goes away. Puzzling.” 
— Robert M. Pirsig",N,Y,,,
4/9/19,"“To think is easy. To act is hard. But the hardest thing in the world is to act in accordance with your thinking.” 
― Johann Wolfgang von Goethe",Y,Y,,,
4/10/19,"“Since the initial publication of the chart of the electromagnetic spectrum, humans have learned that what they can touch, smell, see, and hear is less than one-millionth of reality.”
- R. Buckminster Fuller, an American architect, systems theorist, author, designer, and inventor.",Y,N,,,
4/11/19,“There have been so many times I have seen a man wanting to weep but instead beat his heart until it was unconscious.” — Nayyirah Waheed,N,N,,,
4/12/19,"“Our bodies are apt to be our autobiographies.” 
— Frank Gelett Burgess",N,N,,,
4/13/19,"“It’s good to know who hates you, and it’s good to be hated by the right people.”
— Johnny Cash",,N,,,
4/14/2019,"“The universe is full of magical things patiently waiting for our wits to grow sharper.”
― Eden Phillpotts",Y,N,N,,
4/15/19,"“Don't postpone joy until you have learned all of your lessons. Joy is your lesson.”
— Alan Cohen",Y,Y,N,,
4/16/19,"""The wound is the place where the light enters you.""
— Rumi",Y,N,N,,
4/17/19,"“Every act of perception, is to some degree an act of creation, and every act of memory is to some degree an act of imagination.”
— Oliver Sacks",,N,Y,Y,
4/18/19,"“What was once called the objective world is a sort of Rorschach inkblot, into which each culture, each system of science and religion, each type of personality, reads a meaning only remotely derived from the shape and color of the blot itself.”
— Lewis Mumford",N,,N,N,
4/19/19,"“I must not fear. 
Fear is the mind-killer. 
Fear is the little-death that brings total obliteration. 
I will face my fear. 
I will permit it to pass over me and through me. 
And when it has gone past, I will turn the inner eye to see its path. 
Where the fear has gone there will be nothing. 
Only I will remain.”
— Bene Gesserit, Litany Against Fear",Y,N,Y,N,
4/20/19,"“Man is least himself when he talks in his own person. Give him a mask, and he will tell you the truth.”
— Oscar Wilde",,Y,,,
